1960,148.417
1961,149.385
1962,149.209
1963,148.552
1964,148.623
1965,151.004
1966,152.563
1967,155.038
1968,154.484
1969,153.396
1970,152.163
1971,154.814
1972,156.177
1973,157.879
1974,155.834
1975,152.156
1976,149.66
1977,137.853
1978,137.546
1979,144.883
1980,145.341
1981,149.661
1982,148.568
1983,145.902
1984,144.93
1985,143.129
1986,142.136
1987,125.57
1988,130.778
1989,130.494
1990,122.287
1991,128.465
1992,128.913
1993,123.529
1994,124.343
1995,122.403
1996,114.425
1997,111.706
1998,110.369
1999,104.382
2000,100.704
2001,99.575
2002,93.536
2003,86.914
2004,73.229
2005,55.703
2006,47.951
2007,45.112
2008,48.306
2009,41.494
2010,39.222
2011,36.935
2012,34.535
2013,33.962
2014,34.643
2015,22.432
2016,20.025
2017,20.42
2018,19.275
2019,17.701
2020,17.278
